1972	11
1980	2
1989	4
1989	9
1990	5
1990	7
1990	9
1992	2
1992	4
1992	5
1992	6
1992	7
1992	8
1992	9
1993	4
1993	5
1993	9
1994	10
1995	4
1995	10
1997	4
1997	10
1998	11
1998	12
2000	9
2001	4
2002	5
2003	11
2003	12
2004	4
2004	5
2004	9
2004	11
2004	12
2005	4
2005	5
2005	10
2005	11
2006	4
2006	5
2006	9
2006	10
2007	4
2007	5
2007	8
2007	9
2007	10
2008	4
2008	5
2008	9
2008	10
2009	5
2009	10
2010	4
2010	5
2011	4
2011	5
2011	6
2011	9
2012	12
2014	6



